,latitude,longitude,name
0,38.55042047,-121.3914158,3108 OCCIDENTAL DR
1,38.47350069,-121.4901858,2082 EXPEDITION WAY
2,38.65784584,-121.46210090000001,4 PALEN CT
3,38.50677377,-121.42695079999999,22 BECKFORD CT
4,38.6374478,-121.3846125,3421 AUBURN BLVD
5,38.52697863,-121.45133829999999,5301 BONNIEMAE WAY
6,38.537172999999996,-121.48757739999999,2217 16TH AVE
7,38.56433456,-121.46188259999998,3547 P ST
8,38.6374478,-121.3846125,3421 AUBURN BLVD
9,38.60960217,-121.4918375,1326 HELMSMAN WAY
10,38.55426406,-121.45460449999999,2315 STOCKTON BLVD
11,38.52816497,-121.43145279999999,5112 63RD ST
12,38.51092155,-121.54882009999999,6351 DRIFTWOOD ST
13,38.55611545,-121.4142729,7721 COLLEGE TOWN DR
14,38.50398051,-121.3923987,8460 ROVANA CIR
15,38.54152896,-121.44950970000001,4856 11TH AVE
16,38.51657327,-121.4234749,6033 69TH ST
17,38.58184562,-121.50116570000002,547 L ST
18,38.54270763,-121.4572067,3525 42ND ST
19,38.52459987,-121.52036090000001,5641 DORSET WAY
20,38.44659211,-121.4423777,5551 REXLEIGH CT
21,38.59664183,-121.423349,1896 ARDEN WAY
22,38.51512387,-121.5291027,6168 RIVERSIDE BLVD
23,38.65660112,-121.45604490000001,415 SEXTANT WAY
24,38.44281523,-121.4095243,15 BASIN CT
25,38.5438039,-121.4332827,3340 62ND ST
26,38.47121906,-121.4547389,4280 DEER HILL DR
27,38.5564521,-121.51233090000001,2814 5TH ST
28,38.49535335,-121.49656019999999,1816 FLORIN RD
29,38.64717373,-121.4375169,1260 BELL AVE
30,38.47889498,-121.53544769999999,7676 BRIDGEVIEW DR
31,38.63734742,-121.44464199999999,3816 CYPRESS ST
32,38.57289613,-121.47679579999999,1211 23RD ST
33,38.51436734,-121.38542859999998,7001 EAST PKWY
34,38.47948616,-121.5215057,918 LAKE FRONT DR
35,38.65994218,-121.52590079999999,4851 KOKOMO DR
36,38.60893745,-121.51879270000002,2377 OAK HARBOUR DR
37,38.57084621,-121.484429,1823 P ST
38,38.57815667,-121.48769579999998,1100 14TH ST
39,38.64378844,-121.53415929999998,3301 ARENA BLVD
40,38.62798948,-121.4857344,1088 PREGO WAY
41,38.61153542,-121.53706129999999,3259 SPINNING ROD WAY
42,38.57999251,-121.4930384,1010 J ST
43,38.59540732,-121.49787979999999,400 BANNON ST
44,38.51526387,-121.4296507,6115 63RD ST
45,38.65737252,-121.4577585,47 FIRE LEAF CT
46,38.52799185,-121.434789,5140 61ST ST
47,38.56796664,-121.48525420000001,1814 19TH ST
48,38.50009398,-121.47762620000002,6940 27TH ST
49,38.54138742,-121.4282497,3820 65TH ST
50,38.49609085,-121.4740915,2829 FLORIN RD
51,38.52973955,-121.5195294,1080 APPOLLO WAY
52,38.46637324,-121.4265274,6571 WEATHERFORD WAY
53,38.51538948,-121.5255605,930 43RD AVE
54,38.57905906,-121.4661967,2830 E ST
55,38.63036289,-121.4755269,NORTHGATE BLVD / W SILVER EAGLE RD
56,38.50632179,-121.4333041,6665 STOCKTON BLVD
57,38.47400047,-121.45819329999999,7811 DEER MEADOW DR
58,38.57724403,-121.50514369999999,3RD ST / O ST
59,38.57419952,-121.47055300000001,27TH ST / J ST
60,38.57881567,-121.4970836,8TH ST / L ST
61,38.55456463,-121.41061380000001,7850 COLLEGE TOWN DR
62,38.52199211,-121.4309007,63RD ST / JANSEN DR
63,38.62453557,-121.52641979999999,11 ALCANON CT
64,38.62504428,-121.4978986,TRUXEL RD / SAGINAW CIR
65,38.56984785,-121.47370520000001,2600 N ST
66,38.46518116,-121.44616529999999,4740 BECKET WAY
67,38.4497213,-121.4258719,CALVINE RD / CENTER PKWY
68,38.47143667,-121.42761499999999,6625 VALLEY HI DR
69,38.61972226,-121.41527990000002,RAINBOW AVE / HOWE AVE
70,38.49570962,-121.47782600000001,2500 FLORIN RD
71,38.62070956,-121.42269579999999,3012 ALBATROSS WAY
72,38.61488957,-121.49342720000001,1426 BREWERTON DR
73,38.58239328,-121.50593359999999,FRONT ST / K ST
74,38.53116122,-121.46612140000002,3807 24TH AVE
75,38.60641085,-121.4473501,EMPRESS ST / ARDEN WAY
76,38.57682477,-121.4882896,1415 L ST
77,38.63207451,-121.5287747,2737 SCREECH OWL WAY
78,38.60108154,-121.456171,1900 CANTERBURY RD
79,38.47489873,-121.49969440000001,7769 AMHERST ST
80,38.67510292,-121.5226753,100 ROCKMONT CIR
81,38.46594742,-121.4513773,8032 TORRENTE WAY
82,38.51055016,-121.40908300000001,POWER INN RD / ELDER CREEK RD
83,38.570664,-121.465448,1125 ALHAMBRA BLVD
84,38.643232399999995,-121.4563115,4128 NORWOOD AVE
85,38.67318557,-121.50354909999999,HONOR PKWY / REGENCY PARK CIR
86,38.66695301,-121.50887069999999,3 CLOE CT
87,38.45025842,-121.443044,8454 COEBURN ST
88,38.52337984,-121.4378491,5620 34TH AVE
89,38.56159185,-121.4923822,BROADWAY / 16TH ST
90,38.56438552,-121.4516767,1414 43RD ST
91,38.49603233,-121.4619674,FLORIN RD / MUNSON WAY
92,38.52967087,-121.4469794,1 CLAUSS CT
93,38.47425283,-121.43687690000002,MACK RD / CENTER PKWY
94,38.57941421,-121.48643440000001,1426 I ST
95,38.47425283,-121.43687690000002,MACK RD / CENTER PKWY
96,38.49714012,-121.51368980000001,1236 EL ENCANTO WAY
97,38.57201606,-121.4692575,2801 L ST
98,38.61859754,-121.43825690000001,2884 DEL PASO BLVD
99,38.57348427,-121.4678719,J ST / 29TH ST
100,38.61197962,-121.4578062,2518 HAWTHORNE ST
101,38.62099831,-121.5104473,AZEVEDO DR / YARWOOD WAY
102,38.51755951,-121.4142712,6021 WILKINSON ST
103,38.63465784,-121.43924009999998,1200 ROANOKE AVE
104,38.65509277,-121.4477394,RIO LINDA BLVD / MAIN AVE
105,38.5076709,-121.5412748,398 FLORIN RD
106,38.65966202,-121.4535351,525 EXCHANGE ST
107,38.61499077,-121.45347140000001,535 LAMPASAS AVE
108,38.65699142,-121.5038615,12 GRAND CANYON CT
109,38.63500106,-121.4213652,3709 PRESIDIO ST
110,38.49601155,-121.45927720000002,FLORIN RD / FRANKLIN BLVD
111,38.54182394,-121.47095049999999,3615 33RD ST
112,38.63963285,-121.4130509,2324 NORTH AVE
113,38.63351404,-121.5282646,2800 CHATEAU MONTELENA WAY
114,38.61199425,-121.4244182,1820 FRIENZA AVE
115,38.57546355,-121.47618229999999,2230 J ST
116,38.50771305,-121.5534498,6581 HARMON DR
117,38.51617367,-121.52863789999999,6054 RIVERSIDE BLVD
118,38.60088271,-121.4352821,1545 RIVER PARK DR
119,38.63244741,-121.4903723,1287 TRAIL END WAY
120,38.62275946,-121.51394599999999,2215 BORONA WAY
121,38.51110856,-121.53434340000001,6 SHELTER POINT CT
