latitude,longitude,name
38.55042047,-121.3914158,3108 OCCIDENTAL DR
38.47350069,-121.4901858,2082 EXPEDITION WAY
38.65784584,-121.46210090000001,4 PALEN CT
38.50677377,-121.42695079999999,22 BECKFORD CT
38.6374478,-121.3846125,3421 AUBURN BLVD
38.52697863,-121.45133829999999,5301 BONNIEMAE WAY
38.537172999999996,-121.48757739999999,2217 16TH AVE
38.56433456,-121.46188259999998,3547 P ST
38.6374478,-121.3846125,3421 AUBURN BLVD
38.60960217,-121.4918375,1326 HELMSMAN WAY
38.55426406,-121.45460449999999,2315 STOCKTON BLVD
38.52816497,-121.43145279999999,5112 63RD ST
38.51092155,-121.54882009999999,6351 DRIFTWOOD ST
38.55611545,-121.4142729,7721 COLLEGE TOWN DR
38.50398051,-121.3923987,8460 ROVANA CIR
38.54152896,-121.44950970000001,4856 11TH AVE
38.51657327,-121.4234749,6033 69TH ST
38.58184562,-121.50116570000002,547 L ST
38.54270763,-121.4572067,3525 42ND ST
38.52459987,-121.52036090000001,5641 DORSET WAY
38.44659211,-121.4423777,5551 REXLEIGH CT
38.59664183,-121.423349,1896 ARDEN WAY
38.51512387,-121.5291027,6168 RIVERSIDE BLVD
38.65660112,-121.45604490000001,415 SEXTANT WAY
38.44281523,-121.4095243,15 BASIN CT
38.5438039,-121.4332827,3340 62ND ST
38.47121906,-121.4547389,4280 DEER HILL DR
38.5564521,-121.51233090000001,2814 5TH ST
38.49535335,-121.49656019999999,1816 FLORIN RD
38.64717373,-121.4375169,1260 BELL AVE
38.47889498,-121.53544769999999,7676 BRIDGEVIEW DR
38.63734742,-121.44464199999999,3816 CYPRESS ST
38.57289613,-121.47679579999999,1211 23RD ST
38.51436734,-121.38542859999998,7001 EAST PKWY
38.47948616,-121.5215057,918 LAKE FRONT DR
38.65994218,-121.52590079999999,4851 KOKOMO DR
38.60893745,-121.51879270000002,2377 OAK HARBOUR DR
38.57084621,-121.484429,1823 P ST
38.57815667,-121.48769579999998,1100 14TH ST
38.64378844,-121.53415929999998,3301 ARENA BLVD
38.62798948,-121.4857344,1088 PREGO WAY
38.61153542,-121.53706129999999,3259 SPINNING ROD WAY
38.57999251,-121.4930384,1010 J ST
38.59540732,-121.49787979999999,400 BANNON ST
38.51526387,-121.4296507,6115 63RD ST
38.65737252,-121.4577585,47 FIRE LEAF CT
38.52799185,-121.434789,5140 61ST ST
38.56796664,-121.48525420000001,1814 19TH ST
38.50009398,-121.47762620000002,6940 27TH ST
38.54138742,-121.4282497,3820 65TH ST
38.49609085,-121.4740915,2829 FLORIN RD
38.52973955,-121.5195294,1080 APPOLLO WAY
38.46637324,-121.4265274,6571 WEATHERFORD WAY
38.51538948,-121.5255605,930 43RD AVE
38.57905906,-121.4661967,2830 E ST
38.63036289,-121.4755269,NORTHGATE BLVD / W SILVER EAGLE RD
38.50632179,-121.4333041,6665 STOCKTON BLVD
38.47400047,-121.45819329999999,7811 DEER MEADOW DR
38.57724403,-121.50514369999999,3RD ST / O ST
38.57419952,-121.47055300000001,27TH ST / J ST
38.57881567,-121.4970836,8TH ST / L ST
38.55456463,-121.41061380000001,7850 COLLEGE TOWN DR
38.52199211,-121.4309007,63RD ST / JANSEN DR
38.62453557,-121.52641979999999,11 ALCANON CT
38.62504428,-121.4978986,TRUXEL RD / SAGINAW CIR
38.56984785,-121.47370520000001,2600 N ST
38.46518116,-121.44616529999999,4740 BECKET WAY
38.4497213,-121.4258719,CALVINE RD / CENTER PKWY
38.47143667,-121.42761499999999,6625 VALLEY HI DR
38.61972226,-121.41527990000002,RAINBOW AVE / HOWE AVE
38.49570962,-121.47782600000001,2500 FLORIN RD
